Filename,Coupling_eV,Diabatic_E1_Ha,Diabatic_E2_Ha,Energy_Gap_eV,Total_Energy_Ha,Overlap_S12,Interlayer_Dist_Ang,FeFe_Dist_Ang,Min_HeavyDist_Ang,Max_HeavyDist_Ang,NN_Dist_1_Ang,Lateral_Slippage_Ang,dataset,split,J_cdft_eV,log10_J_cdft,dz,dx,dy,cos_theta,cos_4phi,sin_4phi,cos_4psi,sin_4psi,d_lateral,cos_4alpha,sin_4alpha,S12_b3lyp,S12_srsh_singlet,S12_srsh_cation,S12_qchem_truth,J_eht_eV,J_zindo_eV,J_dftb_eV,S12,S12_sq,absS12,log_absS12,log10_Coupling
35_ang_02_02.out,0.385721595,-4501.01702858,-4501.01571982,0.035613191864789,-9002.0327484,0.3993506393,3.499993284868608,3.5114099732158874,3.5114099732158874,9.439395355137956,3.5114099732158874,0.2829257957038462,704_systematic,train,0.3857216,-0.413726,3.499993,0.2039695,0.19607,1.0,1.0,-1.387779e-17,1.0,0.0,0.2829258,-0.9968829,0.07889521,-0.05101084,-0.04329083,-0.0417434,,0.07051555,0.306738,0.088,-0.0417434,0.00174251144356,0.0417434,-1.3794121805332262,-0.4137237942040117
35_ang_04.out,0.35092093554,-4501.01629578,-4501.01740134,-0.0300838353789504,-9002.033697120001,-0.3645853453,3.500002698686164,3.522782990761708,3.522782990761708,9.591677461054454,3.522782990761708,0.3999763857899229,704_systematic,train,0.3509209,-0.4547907,3.500003,0.007873173,0.3998989,1.0,1.0,2.081668e-16,1.0,0.0,0.3999764,0.9969015,-0.07866012,-0.05034807,-0.04147108,-0.03997886,,0.06388362,0.3055377,,-0.03997886,0.0015983092468995,0.03997886,-1.3981695939681231,-0.45478824633874815
35_ang_04_04.out,0.33647440328,-4501.02217008,-4501.02075962,0.0383805912560541,-9002.042929700001,-0.359994401,3.499986572661326,3.5454195802471675,3.5454195802471675,9.659713280972682,3.5454195802471675,0.5657684961098648,704_systematic,test,0.3364744,-0.473048,3.499987,0.4077984,0.3921663,1.0,1.0,2.220446e-16,1.0,0.0,0.5657685,-0.9969475,0.07807441,-0.04629128,-0.03793056,-0.03653446,,0.05177005,0.3040353,,-0.03653446,0.0013347667674915,0.03653446,-1.4372973073777235,-0.47304538696635345
35_ang_02.out,0.31984823788,-4501.01965595,-4501.01980066,-0.0039377617025267,-9002.03945661,-0.3293704283,3.500001347881026,3.5057096285916205,3.5057096285916205,9.407458132614783,3.5057096285916205,0.1999764106863632,704_systematic,test,0.3198482,-0.495056,3.500001,0.004006896,0.1999363,1.0,1.0,-1.387779e-17,1.0,0.0,0.1999764,0.9967895,-0.08006695,-0.05205803,-0.04422334,-0.04265108,,0.07399532,0.3072886,,-0.04265108,0.0018191146251664,0.04265108,-1.3700699672505905,-0.4950533219514742
35_ang_06_06.out,0.25736814234,-4501.02553463,-4501.0254316,0.0028035905417584,-9002.05096623,0.2974173142,3.499979860454046,3.6013886210738213,3.541806680170447,9.883214895498329,3.6013886210738213,0.8486112045077383,704_systematic,train,0.2573681,-0.5894452,3.49998,0.6116273,0.5882627,1.0,1.0,2.220446e-16,1.0,0.0,0.8486112,-0.9969689,0.07780074,-0.03807962,-0.0298417,-0.02868009,,0.02768073,0.2722,,-0.02868009,0.000822547562408,0.02868009,-1.5424194901424406,-0.5894418372649929
35_ang_10.out,0.21061079372,-4501.03020516,-4501.02896367,0.0337826809917509,-9002.059168830001,0.2842435918,3.5000067511015778,3.640054944640259,3.518478411472778,10.147920994809724,3.640054944640259,0.9999763708425204,704_systematic,train,0.2106108,-0.6765194,3.500007,0.019472,0.9997868,1.0,1.0,2.081668e-16,1.0,0.0,0.9999764,0.9969677,-0.07781603,-0.03429753,-0.02519092,-0.02417256,,0.01558238,0.22725,,-0.02417256,0.0005843126569535,0.02417256,-1.6166773530911722,-0.6765152510363915
35_ang_12.out,0.16899095742,-4501.02922588,-4501.02883098,0.0107457818647333,-9002.05805686,-0.248243383,3.500008101906716,3.7,3.503696666665081,10.334423472884206,3.7,1.1999763691787222,704_systematic,train,0.168991,-0.7721365,3.500008,0.02333828,1.199749,1.0,1.0,2.081668e-16,1.0,0.0,1.199976,0.9969751,-0.07772224,-0.02664453,-0.01847656,-0.01765461,,0.001766121,0.16405,,-0.01765461,0.0003116852542521,0.01765461,-1.7531418717731817,-0.7721313937139138
geom_188.out,0.16831339356,-4501.0245374,-4501.0248337,-0.0080627378370758,-9002.0493711,0.2493493197,2.999805069954816,5.918693913007498,3.0319201120751846,13.90716416008418,3.272952445021009,5.102166910063349,704_systematic,train,0.1683134,-0.7738813,2.999805,5.021442,0.9041873,1.0,-0.5,0.8660254,0.9535736,0.3011601,5.102199,0.7566485,0.6538219,0.008958564,0.01352816,0.01334976,,-0.008284605,,,0.01334976,0.0001782160920576,0.01334976,-1.8745265418783024,-0.7738761630946084
geom_325.out,0.16641948012,-4501.01918834,-4501.01919813,-0.0002663996100605,-9002.038386470002,-0.204643495,1.9996977399094067,8.774964387392123,2.470659261695145,17.125344337285597,5.356360810195668,8.54407449341362,704_systematic,train,0.1664195,-0.7787958,1.999698,8.05658,2.844773,1.0,1.0,-2.775558e-16,1.0,0.0,8.544074,0.2114548,0.9773878,-0.01858407,-0.0151332,-0.01412739,,0.03799482,0.3409418,,-0.01412739,0.0001995831482121,0.01412739,-1.849938065530308,-0.7787906197788861
35_ang_20_20.out,0.14280814834,-4501.02906484,-4501.02906246,6.476311531678221e-05,-9002.058127299999,0.2363650346,3.4999328750030823,4.5,3.5002601656591183,11.520983841261128,3.5002601656591183,2.828510185675961,704_systematic,train,0.1428081,-0.845247,3.499933,2.03843,1.960937,1.0,1.0,-2.498002e-16,1.0,0.0,2.82851,-0.9969988,0.07741755,0.01873488,0.0159349,0.01527379,,0.01224393,0.1490999,,0.01527379,0.0002332886609641,0.01527379,-1.8160531847975725,-0.8452409297344865
geom_543.out,0.13698762988,-4501.01442801,-4501.01373264,0.0189219912277361,-9002.02816065,0.1828806849,2.9998252698113297,7.077625543495926,3.007098111859672,14.479875609054142,4.423546874045871,6.410447073687403,704_systematic,train,0.1369876,-0.8633186,2.999825,5.081917,3.907495,1.0,0.4999995,-0.8660257,-0.3011595,0.9535738,6.410491,-0.8679994,0.4965653,0.01705954,0.01721942,0.01683672,,0.01154671,0.2152786,,0.01683672,0.0002834751403583,0.01683672,-1.7737425104735982,-0.8633123077074836
35_ang_22_22.out,0.1345739787,-4501.02918873,-4501.02918374,0.0001357848854406,-9002.05837247,-0.2357798835,3.4999261627958016,4.682947789587238,3.5126942974446265,11.763543032207602,3.5126942974446265,3.1113528978528704,704_systematic,train,0.134574,-0.8710389,3.499926,2.242259,2.157033,1.0,1.0,6.383782e-16,1.0,0.0,3.111353,-0.9969999,0.07740262,0.01784965,0.01454433,0.01384009,,0.0121889,0.1359499,,0.01384009,0.000191548091208,0.01384009,-1.8588610856877452,-0.8710324531064496
35_ang_18_18.out,0.13214400068,-4501.02840312,-4501.02847375,-0.0019219411753223,-9002.05687687,-0.2145531521,3.4999395872103625,4.327817001676481,3.500175785314218,11.280301089536572,3.510643990395494,2.545667473547508,704_systematic,train,0.132144,-0.8789525,3.49994,1.834601,1.764841,1.0,1.0,2.081668e-16,1.0,0.0,2.545667,-0.9969973,0.0774358,0.0171359,0.0153951,0.01485456,,0.007741218,0.1443,,0.01485456,0.0002206579527935,0.01485456,-1.8281402076750453,-0.8789459759971967
md_091.out,0.12528944902,-4501.0203747,-4501.02363703,-0.0887725665708481,-9002.044011729999,-0.1784668212,3.232977953339758,6.212351212940958,2.8705155713789465,14.075766999389623,3.830718385534103,5.304824327548281,slater_111_md,train,0.1252894,-0.9020857,3.232929,-1.33288,-5.134697,0.9772371,0.442994,0.8965246,1.0,-2.470839e-06,5.304873,0.5268468,-0.8499603,-0.01228887,-0.01299202,-0.01276127,-0.1784668,-0.02707458,,,-0.01276127,0.0001628500120129,0.01276127,-1.8941061024972965,-0.9020785680333973
40_ang_x_job_003.out,0.1250227773,-4501.02432759,-4501.02434532,-0.0004824581180286,-9002.048672910001,0.1262136493,3.999967744608484,4.079215610874228,4.039186548848666,10.147756053394268,4.079215610874228,0.800161260054322,704_systematic,train,0.1250228,-0.9030109,3.999968,0.8000112,-0.01549524,1.0,1.0,-1.387779e-17,1.0,0.0,0.8001613,0.9970011,-0.07738795,-0.01601293,-0.01211034,-0.0115821,,0.009139212,0.1007999,,-0.0115821,0.0001341450404099,0.0115821,-1.9362126896448315,-0.9030039103653157
